Index,Artist,Title,Tekst
ML56,Shadows Fall,King Of Nothing,It was gone before you ever had a chance lost forever in your disapproving glance I see your face it's twisted with shock falling from grace you deserve what you got The ice surrounds you now You can't pretend all that you want I've seen the pain and all the evil you brought Quit your fucking crying and swallow all your pills your not the only one with the urge to kill grab the dusty bottle and let the liquor spill devoid of life death is your final thrill Bloodshot eyes can see right through the selfish lies search forever for a fix that keeps you high I see your face it's twisted with shock falling from grace you deserve what you got My hands around your throat You can't pretend all that you want I've seen the pain and all the evil you brought I am the king of nothing over emptiness I reign drown the sorrow wash away the pain
ML57,Comeback Kid,Do Yourself A Favor,Lyrics not found
ML58,Rob Zombie,Superbeast,"Shriek the lips Across ragged tongue, Convulsing together.Sing violently, Move the jaw Cry aloud. Bound up the Dead Triumphantly The ragged they come and The ragged they kill! You pray so hard on bloody knees. The ragged they come and The ragged they kill! Down in the cool air I can see. Hey, Yeah - I'm the one that you wanted Hey, Yeah - I'm your Superbeast Hey, Yeah - I'm the one that you wanted Hey, Yeah - I'm your Superbeast Stir the limbs across the wrist, Full possession of memory. Bury me as a dog, Icy hands surrounding me. The ragged they come and The ragged they kill! You pray so hard on bloody knees. The ragged they come and The ragged they kill! Down in the cool air I can see. Hey, Yeah - I'm the one that you wanted Hey, Yeah - I'm your Superbeast Hey, Yeah - I'm the one that you wanted Hey, Yeah - I'm your Superbeast Shriek the lips Across ragged tongue, Convulsing together.Sing violently, Move the jaw Cry aloud. Bound up the Dead Triumphantly The ragged they come and The ragged they kill! You pray so hard on bloody knees. The ragged they come and The ragged they kill! Down in the cool air I can see. Hey, Yeah - I'm the one that you wanted Hey, Yeah - I'm your Superbeast Hey, Yeah - I'm the one that you wanted Hey, Yeah - I'm your Superbeast"
ML59,Pearl Jam,Why Go,"She scratches a letter into a wall made of stone Maybe someday another child won't feel as alone as she does It's been two years and counting since they put her in this place She's been diagnosed by some stupid fuck and mommy agrees Why go home? Why go home? Why go home? She seems to be stronger but what they want her to be is weak She could play pretend, she could join the game, boy She could be another clone Ooh! Ah! Ah yeah Why go home? Why go home? Why go home? Why go home? What you taught (Why go home?) Put me here (Why go home?) Don't come visit (Why go home?) Mother, sing me (Why go home?) Why go home? Why go home? Why go home? Why go home? What you taught me (Why go home?) Put me here (Why go home?) Don't come visit (Why go home?) Mother, mother, yeah (Why go home?) Why go home? Why go home? Why go home? Why go home? Why go home? Why go home? Why go home? Why!"
ML60,Scorpions,Rock You Like A Hurricane,"It's early morning The sun comes out Last night was shaking And pretty loud My cat is purring It scratches my skin So what is wrong With another sin? The bitch is hungry She needs to tell So give her inches And feed her well More days to come New places to go I've got to leave It's time for a show Here I am, rock you like a hurricane Here I am, rock you like a hurricane My body is burning It starts to shout Desire is coming It breaks out loud Lust is in cages Till storm breaks loose Just have to make it With someone I choose The night is calling I have to go The wolf is hungry He runs the show He's licking his lips He's ready to win On the hunt tonight For love at first sting Here I am Rock you like a hurricane (Are you ready, baby?) Here I am Rock you like a hurricane Here I am Rock you like a hurricane (Come on, come on, baby) Here I am Rock you like a hurricane Rock you like a hurricane It's early morning The sun comes out Last night was shaking And pretty loud My cat is purring It scratches my skin So what is wrong With another sin? The night is calling I have to go The wolf is hungry He runs the show He's licking his lips He's ready to win On the hunt tonight For love at first sting Here I am Rock you like a hurricane (Are you ready, baby?) Here I am Rock you like a hurricane Here I am Rock you like a hurricane (Come on, come on, come on, come on) Here I am Rock you like a hurricane"
ML61,Nine Inch Nails,Terrible Lie,"(Hey God) Why are you doing this to me? Am I not living up to what I'm supposed to be? Why am I seething with this animosity? (Hey God) I think you owe me a great big apology Terrible lie Terrible lie Terrible lie Terrible lie (Hey God) I really don't know what you mean Seems like salvation comes only in our dreams I feel my hatred grow all the more extreme (Hey God) Can this world really be as sad as it seems? Terrible lie Terrible lie Terrible lie Terrible lie Don't take it away from me I need you to hold on to Don't take it away from me I need you to hold on to Don't take it away from me I need you to hold on to Don't take it away from me I need someone to hold on to Don't tear it away from me I need you to hold on to Don't tear it away from me I need someone to hold on to Don't tear it away from me I need you to hold on to Don't tear it, don't tear it Don't take it, don't take it, don't (Hey God) There's nothing left for me to hide I lost my ignorance, security, and pride I'm all alone in a world you must despise (Hey God) I believed your promises, your promises and lies Terrible lie Terrible lie Terrible lie Terrible lie (Terrible lie) You made me throw it all away My morals left to decay (Terrible lie) How many you betray You've taken everything (Terrible lie) My head is filled with disease My skin is begging you please (Terrible lie) I'm on my hands and knees I want so much to believe I give you everything My sweet everything I need someone to hold on to I give you everything I need someone to hold on to I need someone I need someone My sweet everything I need someone to hold on to I need someone to hold on to I give you everything I need someone to hold on to I need someone to hold on to My sweet everything I need someone to hold on I need someone to hold on to I give you everything I need someone to hold on to I need someone I need someone My sweet everything I need someone to hold on to I need someone to hold on to I give you everything I need someone to hold on to I need someone I need someone My sweet everything I need someone to hold on to I need someone to hold on to"
ML62,Stone Temple Pilots,Wicked Garden,"Can you see like a child? Can you see what I want? I wanna run through your wicked garden Heard that's the place to find you Cause I'm alive So alive now I know the darkness blinds you Can you see without eyes? Can you speak without lies? I wanna drink from you naked fountain I can drown your sorrows I'm gonna burn Burn you to life now Out of the chains that bind you Can you see just like a child? Can you see just what I want? Can I bring you back to life? Are you scared of life? Burn, burn, burn Burn your wicked garden down Burn, burn, burn Burn your wicked garden to the ground Can you feel pain inside? Can you love? Can you cry? I wanna run through your wicked garden Heard that's the place to find you But I'm alive So alive now Out of the dark that blinds you Can you see just like a child? Can you see just what I want? Can I bring you back to life? Are you scared of life? Burn, burn, burn Burn your wicked garden down Burn, burn, burn Burn your wicked garden to the ground"
ML63,Smashing Pumpkins,Bullet With Butterfly Wings,"The world is a vampire Sent to drain Secret destroyers Hold you up to the flames And what do I get For my pain? Betrayed desires And a piece of the game Even though I know I suppose I'll show All my cool and cold Like ol' Job Despite all my rage, I am still just a rat in a cage Despite all my rage, I am still just a rat in a cage Someone will say, ""What is lost can never be saved"" Despite all my rage, I am still just a rat in a cage Now I'm naked Nothing but an animal But can you fake it For just one more show? And what do you want? I wanna change And what do you got! When you feel the same? Even though I know I suppose I'll show All my cool and cold Like ol' Job Despite all my rage, I am still just a rat in a cage Despite all my rage, I am still just a rat in a cage Then someone will say, ""What is lost can never be saved"" Despite all my rage, I am still just a rat in a cage! Tell me I'm the only one Tell me there's no other one Jesus was an only son, yeah Tell me I'm the chosen one Jesus was an only son, for you Despite all my rage, I am still just a rat in a cage Despite all my rage, I am still just a rat in a cage And someone will say, ""What is lost can never be saved"" Despite all my rage, I am still just a rat in a cage! Despite all my rage, I am still just a rat in a... Despite all my rage, I am still just a rat in a... Despite all my rage, I am still just a rat in a cage Tell me I'm the only one Tell me there's no other one Jesus was an only son, for you And I still believe that I cannot be saved And I still believe that I cannot be saved And I still believe that I cannot be saved And I still believe that I cannot be saved"
ML64,Nirvana,Come As You Are,"Come as you are, as you were As I want you to be As a friend, as a friend As an old enemy Take your time, hurry up Choice is yours, don't be late Take a rest as a friend As an old memoria Memoria Memoria Memoria Come doused in mud, soaked in bleach As I want you to be As a trend, as a friend As an old memoria Memoria Memoria Memoria And I swear that I don't have a gun No, I don't have a gun No, I don't have a gun Memoria Memoria Memoria Memoria (No, I don't have a gun) And I swear that I don't have a gun No, I don't have a gun No, I don't have a gun No, I don't have a gun No, I don't have a gun Memoria Memoria"
ML65,Black Sabbath,War Pigs,"Generals gathered in their masses Just like witches at black masses Evil minds that plot destruction Sorcerer of death's construction In the fields the bodies burning As the war machine keeps turning Death and hatred to Mankind Poisoning their brainwashed minds... Oh Lord yeah! Politicians hide themselves away They only started the war Why should they go out to fight? They leave that role to the poor Time will tell on their power minds Making war just for fun Treating people just like pawns in chess Wait 'till their judgment day comes, yeah! Now in darkness, world stops turning Ashes where the bodies burning No more war pigs have the power Hand of God has struck the hour Day of Judgment, God is calling On their knees the war pigs crawling Begging mercy for their sins Satan, laughing, spreads his wings... Oh Lord, yeah!"
ML66,Korn,Everything I've Known,"Away, I see it's going down Today, Hoping in time, Will bury all this pain And will awake something inside We pushed our buttons far inside We tear our hearts out then we fight Hey, I know feels like I lost everything That I've known, I cannot survive alone It feels like I lost everything that I've known Our lives, were good in everyway Too late, time after time Our love just turned to hate but we stayed by each others side We pushed our buttons far inside We tear our hearts out then we fight Hey, I know feels like I lost everything That I've known, I cannot survive alone It feels like I lost everything that I've known I keep holding on, I feel I'm where I belong Everytime we fight, it feels so wrong I feel so enslaved by my pride Then we meet again We pushed our buttons far inside We tear our hearts out then we fight Hey, I know feels like I lost everything That I've known, I cannot survive alone It feels like I lost everything that I've known"
ML67,Disturbed,Indestructible,"Another mission, the powers have called me away Another time to carry the colors again My motivation, an oath I've sworn to defend To win the honor of coming back home again No explanation will matter after we begin Unlock the dark destroyer that's buried within My true vocation, and now my unfortunate friend You will discover a war you're unable to win I'll have you know That I've become Indestructible Determination that is incorruptible From the other side, a terror to behold Annihilation will be unavoidable Every broken enemy will know That their opponent had to be invincible Take a last look around while you're alive I'm an indestructible Master of war Another reason, another cause for me to fight Another fuse uncovered, now for me to light My dedication to all that I've sworn to protect I carry out my orders without a regret My declaration, embedded deep under my skin A permanent reminder of how it began No hesitation when I am commanded to strike You need to know that you're in for the fight of your life You will be shown How I've become Indestructible Determination that is incorruptible From the other side, a terror to behold Annihilation will be unavoidable Every broken enemy will know That their opponent had to be invincible Take a last look around while you're alive I'm an indestructible Master of war I'm Indestructible Determination that is incorruptible From the other side, a terror to behold Annihilation will be unavoidable Every broken enemy will know That their opponent had to be invincible Take a last look around while you're alive I am indestructible Indestructible Indestructible Determination that is incorruptible From the other side, a terror to behold Annihilation will be unavoidable Every broken enemy will know That their opponent had to be invincible Take a last look around while you're alive I'm an indestructible Master of war"
ML68,Three Days Grace,Riot,"If you feel so empty So used up, so let down If you feel so angry So ripped off so stepped on You're not the only one Refusing to back down You're not the only one So get up Let's start a riot, a riot Let's start a riot Let's start a riot, a riot Let's start a riot If you feel so filthy So dirty so fucked up If you feel so walked on So painful so pissed off You're not the only one Refusing to go down You're not the only one So get up Let's start a riot, a riot Let's start a riot Let's start a riot, a riot Let's start a riot If you feel so empty So used up, so let down If you feel so angry Just get up Let's start a riot, a riot Let's start a riot Let's start a riot, a riot Let's start a riot Let's start a riot, a riot Let's start a riot, a riot Let's start a riot, a riot Let's start a riot Let's start a riot, a riot Let's start a riot"
ML69,Dierks Bentley,Free And Easy ,Lyrics not found
ML70,Kenny Chesney,When The Sun Goes Down ,"Sun tanned toes ticklin the sand Cold drink chillin in my right hand Watchin you sleep in the evening light Restin up for a long, long night [Chorus:] Cause when the sun goes down, we'll be groovin When the sun goes down, we'll be feelin all right When the sun sinks down over the water Everything gets hotter when the sun goes down All day long just takin it easy Layin in the hammock where it's nice and breezy Sleepin off the night before Cause when the sun goes down, we'll be back for more [Chorus:] When the sun goes down, we'll be groovin When the sun goes down,we'll be feeling alright When the sun sinks down over the water Everything gets hotter when the sun goes down This old guitar and my dark sunglasses This sweet concoction is smooth as molasses Nothing to do but breathe all day Until the big moon rises and it's time to play When the sun goes down, we'll be grooving When the sun goes down, we'll be feeling alright When the sun sinks down over the water She thinks Kracker's Sexy when the sun goes down We'll be feeling alright When the sun sinks down over the water Uncle Kennys' hotter when the sun goes down When the sun goes down, we'll be groovin When the sun goes down, hey Uncle Kenny When the sun goes down over the water, Everything is hotter when the sun goes down."
ML71,Zac Brown Band,Free,"So we live out in our old van Travel all across this land Me and you And we'll end up hand in hand Somewhere down on the sand Just me and you Just as free Free as we'll ever be Just as free Free as we'll ever be We drive until the city lights Dissolve into a country sky Just me and you Lay underneath the harvest moon Do all the things that lovers do Just me and you Just as free Free as we'll ever be Just as free Free as we'll ever be And ever be No, we don't have a lot of money No, we don't have a lot of money No, we don't have a lot of money No, we don't have a lot of money No, we don't have a lot of money No, we don't have a lot of money No, we don't have a lot of money All we need is love We're free as we'll ever be Just as free Free as we'll ever be So we live out in our old van Travel all across this land Me and you"
ML72,Frankie Ballard,Tell Me You Get Lonely,"I bet you're kicking yourself for letting me walk away Making yourself a list of the things you wish you didn't say Sitting by the phone hoping it's gonna ring Tell me you get lonely when it's cold outside Tell me that you're only barely getting by I need to know it hurts every time that you hear my name It ain't the same without me, girl Tell me you get lonely Sometimes you're up all night crying over me You've gotta take off of work to catch up on your sleep But that just don't work, now does it, baby So tell me you get lonely when it's cold outside Tell me that you're only barely getting by I need to know it hurts every time that you hear my name It ain't the same without me, girl Tell me you get lonely Tell me you get lonely, and I'll come back All you've gotta do is call me, my bag's been packed I'm dying of pride, but I want you to know That I get lonely when it's cold outside Baby, I'm only barely getting by And it still hurts every time that I hear your name It ain't the same without you, girl Baby, I get lonely Yeah, I get lonely Tell me you get lonely, too Tell me you get lonely"
ML73,Faith Hill,The Way You Love Me,"If I could grant you one wish I'd wish you could see the way you kiss Ooh, I love watching you, baby When you're driving me crazy Ooh, I love the way you (You laugh and breathe) Love the way you love me (And smile when you touch me) There's nowhere else I'd rather be (Drives me wild) Ooh, to feel the way I feel with your arms around me (I melt and spin and fall again) I only wish that you could see The way you love me (Love me) Whoa, whoa, whoa, the way you love me It's not right It's not fair What you're missing over there Someday I'll find a way to show you Just how lucky I am to know you Ooh, I love the way you (You laugh and breathe) Love the way you love me (And smile when you touch me) There's nowhere else I'd rather be (Drives me wild) Ooh, to feel the way I feel with your arms around me (I melt and spin and fall again) I only wish that you could see The way you love me (Love me) Whoa, whoa, whoa, the way you love me You're the million reasons why there's love reflecting in my eyes Ooh, I love the way you (You laugh and breathe) Love the way you love me (And smile when you touch me) There's nowhere else I'd rather be (Drives me wild) Ooh, to feel the way I feel with your arms around me (I melt and spin and fall again) I only wish that you could see The way you love me (Love me) Whoa, whoa, whoa, the way you love me (Love me) Whoa, whoa, whoa, the way you love me (Love me) Whoa, whoa, whoa, the way you love me Oh, the way you love me Ooh, I love the way you love me The way you love me Ooh, I love the way you love me Oh yeah Ooh, I love the way you love me Whoa, whoa, whoa (Yeah)"
ML74,Blake Shelton,Home,"Another summer day has come and gone away In Paris and Rome But I want to go home May be surrounded by a million people I Still feel all alone I want to go home Oh, I miss you, you know And I've been keeping all the letters That I wrote to you Each one a line or two I'm fine baby, how are you I would send 'em but I know That it's just not enough My words were cold and flat And you deserve more than that Another airplane, another sunny place I'm lucky I know, but I wanna go home I've got to go home Let me go home I'm just too far from where you are I want to come home And I feel just like I'm living someone else's life It's like I just stepped outside When everything was going right And I know just why You could not come along with me This was not your dream But you always believed in me Another winter day has come and gone away In even Paris and Rome And I wanna go home Let me go home And I'm surrounded by a million people I Still feel alone and I want to go home Oh, I miss you, you know Let me go home I've had my run Baby I'm done I'm coming back home Let me go home It'll all be alright I'll be home tonight I'm coming back home"
ML75,Josh Turner,Your Man,Baby lock the door and turn the lights down low And put some music on that's soft and slow Baby we ain't got no place to go I hope you understand I've been thinking 'bout this all day long Never felt a feeling quite this strong I can't believe how much it turns me on Just to be your man There's no hurry Don't you worry We can take our time Come a little closer Let's go over What I had in mind Baby lock the door and turn the lights down low And put some music on that's soft and slow Baby we ain't got no place to go I hope you understand I've been thinking 'bout this all day long Never felt a feeling quite this strong I can't believe how much it turns me on Just to be your man Ain't nobody ever love nobody The way that I love you We're alone now You don't know how Long I've wanted to Lock the door and turn the lights down low And put some music on that's soft and slow Baby we ain't got no place to go I hope you understand I've been thinking 'bout this all day long Never felt a feeling that was quite this strong I can't believe how much it turns me on Just to be your man I can't believe how much it turns me on Just to be your man
ML76,Alice Cooper,Welcome To My Nightmare,"Welcome to my nightmare I think you're gonna like it I think you're gonna feel you belong A nocturnal vacation Unnecessary sedation You want to feel at home 'cause you belong Welcome to my nightmare, whoa-whoa-oh Welcome to my breakdown I hope I didn't scare you That's just the way we are when we come down We sweat and laugh and scream here 'Cause life is just a dream here You know inside you feel right at home here Welcome to my breakdown, whoa-whoa-oh You're welcome to my nightmare, yeah-yeah-ah Welcome to my nightmare I think you're gonna like it I think you're gonna feel you belong We sweat and laugh and scream here 'Cause life is just a dream here You know inside you feel right at home here Welcome to my nightmare, ooh-ooh-ooh Welcome to my breakdown Yeah"
ML77,Led Zeppelin,Rock And Roll,"It's been a long time since I rock-and-rolled It's been a long time since I did the Stroll Ooh, let me get it back, let me get it back Let me get it back, baby, where I come from It's been a long time, been a long time Been a long lonely, lonely, lonely, lonely, lonely time Yes, it has It's been a long time since The Book of Love I can't count the tears of a life with no love Carry me back, carry me back Carry me back, baby, where I come from Whoa, whoa, oh It's been a long time, been a long time Been a long lonely, lonely, lonely, lonely, lonely time Oh! Seems so long since we walked in the moonlight Making vows that just can't work right Oh yeah, open your arms, opens your arms Open your arms, baby, let my love come running in! Yeah! It's been a long time, been a long time Been a long lonely, lonely, lonely, lonely, lonely time Ooh yeah, ooh yeah Ooh yeah, ooh yeah It's been a long time, been a long time Been a long lonely, lonely, lonely, lonely, lonely time"
ML78,Joan Jett & The Blackhearts,I Hate Myself For Loving You,Lyrics not found
ML79,Jonny Lang,Lie To Me,"Lie to me and tell me everything is all right Lie to me and tell me that you'll stay here tonight Tell me that you'll never leave Oh, and I'll just try to make believe That everything, everything your telling me is true Come on baby won't you just Lie to me, go ahead and lie to me Lie to me, it doesn't matter anymore It could never be, the way it was before If I can't hold on to you Leave me somethin' I can hold onto For just a little while won't you, won't you let me be Oh, anyone can see That you love him more than me But right now baby let me pretend That our love will never end Lie to me, go ahead and lie to me"
ML80,The Doors,Love Her Madly,Lyrics not found
ML81,Eric Clapton,Cocaine,"If you wanna hang out you've got to take her out Cocaine If you wanna get down, down on the ground Cocaine She don't lie, she don't lie, she don't lie Cocaine If you got bad news, you wanna kick the blues Cocaine When your day is done and you wanna ride on Cocaine She don't lie, she don't lie, she don't lie Cocaine If your day is gone and you wanna ride on Cocaine Don't forget this fact, you can't get it back Cocaine She don't lie, she don't lie, she don't lie Cocaine She don't lie, she don't lie, she don't lie Cocaine"
ML82,Robert Cray,Smoking Gun,"I get a constant busy signal When I call you on the phone I get a strong, uneasy feeling You're not sitting there alone I'm having nasty, nasty visions And baby you're in every one, yeah And I'm so afraid I'm gonna find you with A so-called smoking gun Maybe you wanna end it You've had your fill with my kind of fun But you don't know how to tell me And you know that I'm not that dumb I put two and one together And you know that's not an even sum And I know just where to catch you with That well-known smoking gun I'm standing here, bewildered I can't remember just what I've done I can hear the sirens whining My eyes blinded by the sun I know that I should be running My heart's beating just like a drum Now they've knocked me down and taken it That still-hot smoking gun Yeah, yeah, still-hot smoking gun They've taken it, the still-hot smoking gun Oh, they've taken it, still-hot smoking gun They've knocked me down And taken it Oh"
ML83,Jefferson Airplane,Somebody To Love,"When the truth is found To be lies And all the joy Within you dies Don't you want somebody to love? Don't you need somebody to love? Wouldn't you love somebody to love? You better find somebody to love Love When the garden flowers Baby, are dead, yes And your mind, your mind Is so full of red Don't you want somebody to love? Don't you need somebody to love? Wouldn't you love somebody to love? You better find somebody to love Your eyes, I say your eyes May look like his Yeah, but in your head, baby I'm afraid you don't know where it is Don't you want somebody to love? Don't you need somebody to love? Wouldn't you love somebody to love? You better find somebody to love Tears are running They're all running down your breast And your friends, baby They treat you like a guest Don't you want somebody to love? Don't you need somebody to love? Wouldn't you love somebody to love? You better find somebody to love"
ML84,Supertramp,Bloody Well Right,"So you think your schooling is phony I guess it's hard not to agree You say it all depends on money And who is in your family tree Right, (Right), you're bloody well right You got a bloody right to say Right, you're bloody well right You know you got a right to say Ha-ha, you're bloody well right You know you're right to say Yeah, yeah, you're bloody well right You know you're right to say Me, I don't care anyway Write your problems down in detail Take them to a higher place You've had your cry, no, I shouldn't say wail In the meantime, hush your face Right, (Quite right), you're bloody well right You got a bloody right to say Right, you're bloody well right You know you got a right to say Ha-ha, you're bloody well right You know you're right to say Yeah, yeah, you're bloody well right You know you got a right to say You got a bloody right to say You got a bloody right to say You got a bloody right to say You got a bloody right to say, yeah"
ML85,Ted Nugent,Cat Scratch Fever,"Well, I don't know where they come from but they sure do come I hope they comin' for me And I don't know how they do it but they sure do it good I hope they're doin' it for free They give me cat scratch fever Cat scratch fever Well, the first time that I got it I was just ten years old I got it from some kitty next door An' I went to see the doctor and he gave me the cure I think I got it some more They give me cat scratch fever Cat scratch fever I got a bad scratch fever The cat scratch fever It's nothin' dangerous I feel no pain I've got the choo-choo train You know you got it when you, you're going insane It makes a grown man cry, cry, oh won't you make my bed Well, I make the pussy purr with the stroke of my hand They know they gettin' it from me They know just where to go when they need their lovin' man They know I'm doin' it for free I give them cat scratch fever Cat scratch fever They got a bad scratch fever The cat scratch fever Cat scratch fever Cat scratch fever Cat scratch fever Cat scratch fever Cat scratch fever Cat scratch fever"
ML86,Alice Cooper,No More Mr. Nice Guy,"I used to be such a sweet, sweet thing 'Til they got a hold of me I opened doors for little old ladies I helped the blind to see I got no friends 'cause they read the papers They can't be seen with me And I'm gettin' real shot down And I'm feeling mean No more Mister Nice Guy No more Mister Clean No more Mister Nice Guy They say he's sick, he's obscene I got no friends 'cause they read the papers They can't be seen with me And I'm feelin' real shot down And I'm, I'm gettin' mean No more Mister Nice Guy No more Mister Clean No more Mister Nice Guy They say he's sick, he's obscene My dog bit me on the leg today My cat clawed my eyes (Nice guy) Ma's been thrown out of the social circle And dad has to hide I went to church incognito When everybody rose, the Reverend Smith He, he recognized me And punched me in the nose, he said No more Mister Nice Guy No more Mister Clean No more Mister Nice Guy He said you're sick, you're obscene No more Mister Nice Guy No more Mister Clean No more Mister Nice Guy He said you're sick, you're obscene"
ML87,Neil Young,Heart Of Gold,I want to live I want to give I've been a miner for a heart of gold It's these expressions I never give That keep me searching for a heart of gold And I'm getting old Keep me searching for a heart of gold And I'm getting old I've been to Hollywood I've been to Redwood I crossed the ocean for a heart of gold I've been in my mind It's such a fine line That keeps me searching for a heart of gold And I'm getting old Keeps me searching for a heart of gold And I'm getting old Keep me searching for a heart of gold You keep me searching and I'm growing old Keep me searching for a heart of gold I've been a miner for a heart of gold
ML88,Boston,Let Me Take You Home Tonight,"Now I'm not like this, I'm really kind of shy But I get this feeling whenever you walk by I don't wanna down you, I wanna make you high If you could see your way to me, come on and let me try Let me take you home tonight Mamma now it's alright Let me take you home tonight I'll show you sweet delight You must understand this, I've watched you for so long That I feel I've known you, I know it can't be wrong If we just get together, I want to make you see I'm dreaming of your sweet love tonight, so mamma let it be Let me take you home tonight Mamma now it's alright Let me take you home tonight I'll show you sweet delight I don't wanna make excuses, I don't wanna lie I just got to get loose With you tonight Let me take you home tonight Mamma now it's alright Let me take you home tonight I'll show you sweet delight I don't wanna make excuses, I don't wanna lie I just got to get loose With you tonight, hey I don't wanna down you, I wanna make you high And I get this feeling whenever you walk by If we just get together, I wanna make you see I'm dreaming of your sweet love tonight, so mamma let it be Let me take you home tonight Mamma now it's alright Let me take you home tonight I'll show you sweet delight I wanna show you sweet delight, show you sweet delight Pretty mamma wanna show you sweet delight Let me take you home tonight You know I wanna take you home Let me take you home tonight I don't wanna be alone Let me take you home tonight Let me take you home tonight Let me take you home tonight"
ML89,Scorpions,Still Loving You,"Time, it needs time to win back your love again I will be there, I will be there Love, only love can bring back your love someday I will be there, I will be there Fight, babe, I'll fight to win back your love again I will be there, I will be there Love, only love can bring down the wall someday I will be there, I will be there If we go again all the way from the start I would try to change the things that killed our love Your pride has built a wall, so strong that I can't get through Is there really no chance to start once again? I'm loving you Try, baby, try to trust in my love again I will be there, I will be there Love, our love just shouldn't be thrown away I will be there, I will be there If we'd go again, all the way from the start I would try to change the things that killed our love Your pride has built a wall, so strong that I can't get through Is there really no chance to start once again? If we'd go again, all the way from the start I would try to change the things that killed our love Yes, I've hurt your pride, and I know what you've been through You should give me a chance, this can't be the end I'm still loving you I'm still loving you I'm still loving you I need your love I'm still loving you Still loving you, baby Still loving you I need your love Still loving you I need your love, oh Still loving you I need your love, oh I need your love I need your love..."
ML90,The Doors,Light My Fire,Lyrics not found
ML91,Night Ranger,Don't Tell Me You Love Me,"It ain't the way you move It ain't the way that you move me Oh no It ain't the way you shake It ain't the way that you shake me Oh no I've lived 25 years as a kid on the run I've got a pistol for action Don't tell me you love me Don't tell me you love me Don't tell me I don't want to know Don't tell me you love me Don't tell me you love me Don't tell me I don't want to know I love the way you use I love the way that you use me Oh yeah I love the way you shoot I love the way that you shoot to kill me Oh yeah It's taken miles and lines to learn the right from the wrong I'll keep you hanging on Don't tell me you love me Don't tell me you love me Don't tell me I don't want to know Don't tell me you love me Don't tell me you love me Don't tell me I don't want to know Don't tell me you love me Don't tell me you love me (you love me, you love me) Don't tell me you love me (you love me, you love me) Don't tell me you love me (you love me, you love me) Don't tell me you love me Love me, love me, love me Yeah Don't tell me you love me Don't tell me you love me Don't tell me, I don't want to know Don't tell me you love me Don't tell me you love me Don't tell me, I don't want to know"
ML92,Lynyrd Skynyrd,That Smell,"Whiskey bottles, and brand new cars Oak tree you're in my way There's too much coke and too much smoke Look what's going on inside you Ooooh that smell Can't you smell that smell Ooooh that smell The smell of death surrounds you Angel of darkness is upon you Stuck a needle in your arm So take another toke, have a blow for your nose One more drink fool, will drown you Ooooh that smell Can't you smell that smell Ooooh that smell The smell of death surrounds you Now they call you Prince Charming Can't speak a word when you're full of 'ludes Say you'll be all right come tomorrow But tomorrow might not be here for you Ooooh that smell Can't you smell that smell Ooooh that smell The smell of death surrounds you Hey, you're a fool you Stick them needles in your arm I know I been there before One little problem that confronts you Got a monkey on your back Just one more fix, Lord might do the trick One hell of a price for you to get your kicks Ooooh that smell Can't you smell that smell Ooooh that smell The smell of death surrounds you Ooooh that smell Can't you smell that smell Ooooh that smell The smell of death surrounds you"
ML93,Pat Benatar,Hit Me With Your Best Shot,"Well you're the real tough cookie With the long history Of breaking little hearts Like the one in me That's OK, Lets see how you do it Put up your dukes, Lets get down to it Hit me with your best shot Why don't you hit me With your best shot Hit me with your best shot Fire Away You come on with a ""come on"" You don't fight fair But that's OK, see if I care Knock me down, it's all in vain I'll get right back on my feet again Hit me with your best shot Why don't you hit me With your best shot Hit me with your best shot Fire Away Well, you're the real tough cookie With the long history Of breaking little hearts Like the one in me Before I put another notch In my lipstick case You better make sure You put me in my place Hit me with your best shot Come On, hit me with your best shot Hit me with your best shot Fire Away Hit me with your best shot Why don't you hit me with your best shot Hit me with your best shot Fire Away"
