Index,Artist,Title,Mood4Q,Mood2Q
ML533,Israel & New Breed,Friend Of God,happy,pos
ML534,Micah Stampley,War Cry,angry,neg
ML535,Gary Wright,Love Is Alive,happy,pos
ML536,Scissor Sisters,Fire With Fire,angry,neg
ML537,The Drifters,Some Kind Of Wonderful,relaxed,pos
ML538,J. Moss,Abundantly,relaxed,pos
ML539,Phil Perry,Love Don't Love Nobody,happy,pos
ML540,Cherrelle,Everything I Miss At Home,relaxed,pos
ML541,The Ohio Players,Love Rollercoaster,happy,pos
ML542,The Staple Singers,Respect Yourself,relaxed,pos
ML543,Clyde McPhatter,Lover Please,sad,neg
ML544,The Jackson 5,Maybe Tomorrow,relaxed,pos
ML545,The Blackbyrds,Walking In Rhythm,relaxed,pos
ML546,Shalamar,Take That To The Bank,happy,pos
ML547,Maze,Love Is The Key ,relaxed,pos
ML548,Gerald Levert,Baby Hold On To Me,relaxed,pos
ML549,Maxwell,Fortunate,relaxed,pos
ML550,Eddie Kendricks,Intimate Friends,happy,pos
ML551,Teena Marie,Young Love,happy,pos
ML552,Ledisi,In The Morning,happy,pos
ML553,Miki Howard,Come Share My Love,happy,pos
ML554,Smokey Robinson,I Can't Give You Anything But Love,happy,pos
ML555,George Benson,Don't Let Me Be Lonely Tonight,sad,neg
ML556,Natalie Cole,Our Love,happy,pos
ML557,Jimmy Sommers,If I Knew ,angry,neg
ML558,Kindred The Family Soul,House Of Love,relaxed,pos
ML559,Anita Baker,Angel,relaxed,pos
ML560,Usher,Burn,angry,neg
ML561,Waka Flocka Flame,Bustin' At 'Em,sad,neg
ML562,Wavves,Mickey Mouse,sad,neg
ML563,Suuns,Organ Blues,happy,pos
ML564,The Apples In Stereo,Dream About The Future,relaxed,pos
ML565,Bob Marley & The Wailers,Small Axe,sad,neg
ML566,Waking The Cadaver,Boss Status,angry,neg
ML567,Jah Cure,Troddin The Valley,angry,neg
ML568,Bonnie 'Prince' Billy,Love Comes To Me,happy,pos
ML569,Clap Your Hands Say Yeah,In This Home On Ice,sad,neg
ML570,No Age,Fever Dreaming,sad,neg
ML571,Grizzly Bear,Knife,angry,neg
ML572,Out Hud,It's For You,sad,neg
ML573,Hot Snakes,Braintrust,relaxed,pos
ML574,Gravenhurst,The Velvet Cell,angry,neg
ML575,Jemina Pearl,I Hate People ,angry,neg
ML576,Asobi Seksu,Thursday,sad,neg
ML577,Someone Still Loves You Boris Yeltsin,In Pairs,happy,pos
ML578,Living Sacrifice,The Training,angry,neg
ML579,Elliott Smith,Let's Get Lost,angry,neg
ML580,Spank Rock,What It Look Like,sad,neg
ML581,Stacey Kent,What A Wonderful World,relaxed,pos
ML582,Frank Sinatra,My Kind Of Girl,relaxed,pos
ML583,Ted Weems,Heartaches,happy,pos
ML584,Rosemary Clooney,Come On-A My House,relaxed,pos
ML585,Tommy Dorsey & His Orchestra,I'll Never Smile Again ,happy,pos
ML586,Billie Holiday,Nice Work If You Can Get It,relaxed,pos
ML587,Nat King Cole,Too Young,happy,pos
ML588,Frank Sinatra,Nice 'N' Easy,relaxed,pos
ML589,Nat King Cole,The Very Thought Of You ,relaxed,pos
ML590,Escape The Fate,Issues,sad,neg
ML591,Garbage,Stupid Girl,sad,neg
ML592,Alkaline Trio,This Addiction,sad,neg
ML593,Radiohead,Just,sad,neg
ML594,Deftones,Minerva,relaxed,pos
ML595,Sublime,Jailhouse,angry,neg
ML596,Against Me!,I Was A Teenage Anarchist,angry,neg
ML597,Sade,Love Is Stronger Than Pride,happy,pos
ML598,Bruce Hornsby,Walk In The Sun,relaxed,pos
ML599,Brian McKnight,Crazy Love,happy,pos
ML600,Lionel Richie,You Are,happy,pos
ML601,Harry Nilsson,Jump Into The Fire,happy,pos
ML602,The Derek Trucks Band,Rastaman Chant,relaxed,pos
ML603,Monchy & Alexandra,Dos Locos,sad,neg
ML604,Chayanne,Un Siglo Sin Ti,sad,neg
ML605,Domenic Marte,Eres Asi,sad,neg
ML606,Juanes,Me Enamora,sad,neg
ML607,Aleks Syntek,Duele El Amor ,sad,neg
ML608,Amy Grant,Lucky One,happy,pos
ML609,Natalie Cole,Inseparable,relaxed,pos
ML610,Michael Jackson,One More Chance,happy,pos
ML611,Robert John,Sad Eyes,sad,neg
ML612,Elton John,Blue Eyes,relaxed,pos
ML613,Bread,Make It With You,relaxed,pos
ML614,Wilson Phillips,You're In Love,happy,pos
ML615,Three Dog Night,Black & White,relaxed,pos
ML616,Carly Simon,Haven't Got Time For The Pain,angry,neg
ML617,Kenny Loggins,Meet Me Half Way,relaxed,pos
ML618,Lionel Richie,Truly,happy,pos
ML619,Stevie Wonder,Sweetest Somebody I Know,happy,pos
ML620,Michael Jackson,Got To Be There,relaxed,pos
ML621,The Emotions,Don't Ask My Neighbors,angry,neg
ML622,The Majors,A Wonderful Dream,relaxed,pos
ML623,The Everly Brothers,All I Have To Do Is Dream,relaxed,pos
ML624,War,The World Is A Ghetto,relaxed,pos
ML625,The O'Jays,For The Love Of Money,happy,pos
ML626,The Rolling Stones,I Just Want To Make Love To You,happy,pos
ML627,The Beatles,Birthday,happy,pos
ML628,The Beatles,The End,happy,pos
ML629,.38 Special,Fantasy Girl,relaxed,pos
ML630,The Beatles,Happiness Is A Warm Gun,angry,neg
ML631,The Jimi Hendrix Experience,Stone Free,relaxed,pos
ML632,Alice Cooper,Be My Lover,relaxed,pos
ML633,Sanctus Real,The Face Of Love,happy,pos
ML634,BarlowGirl,I Need You To Love Me,happy,pos
ML635,John Prine,Glory Of True Love,happy,pos
ML636,Luciano,For The Leaders,angry,neg
ML637,Gregory Isaacs,Slavemaster,angry,neg
ML638,Chimaira,Pure Hatred,angry,neg
ML639,Sevendust,Bitch,angry,neg
ML640,Theory Of A Deadman,Hate My Life,angry,neg
ML641,Evans Blue,Cold ,sad,neg
ML642,Patricia Barber,Easy To Love,relaxed,pos
ML643,Alabama,Down Home,relaxed,pos
ML644,Jo Dee Messina,Bring On The Rain,sad,neg
ML645,Thousand Foot Krutch,Fire It Up,angry,neg
ML646,God Forbid,War Of Attrition,angry,neg
ML647,Nirvana,Come As You Are,angry,neg
ML648,Chiodos,Caves,angry,neg
ML649,Nirvana,Polly ,sad,neg
ML650,Lit,Miserable,angry,neg
ML651,Olga Tanon,Asi Es La Vida,sad,neg
ML652,Britney Spears,Toxic,angry,neg
ML653,Natasha Bedingfield,These Words,happy,pos
ML654,Akon,Don't Matter,angry,neg
ML655,Sean Kingston,Fire Burning On The Dance Floor,angry,neg
ML656,Robert Plant,You Can't Buy My Love,happy,pos
ML657,Rosanne Cash,Motherless Children,happy,pos
ML658,The Black Keys,Next Girl,relaxed,pos
ML659,The Beatles,Octopus's Garden,relaxed,pos
ML660,Moby,Study War,angry,neg
ML661,Neil Young,Sign Of Love,happy,pos
ML662,John Lennon & The Plastic Ono Band,Power To The People,happy,pos
ML663,Iron Fire,Still Alive,angry,neg
ML664,The Sword,Freya,sad,neg
ML665,Inoj,Time After Time,sad,neg
ML666,Reba,Strange,relaxed,pos
ML667,Tanya Tucker,Some Kind Of Trouble,angry,neg
ML668,Tanya Tucker,Down To My Last Teardrop,relaxed,pos
ML669,Shadows Fall,Still I Rise,angry,neg
ML670,Backstreet Boys,Quit Playing Games ,happy,pos
ML671,Peter Cetera,Glory Of Love,happy,pos
ML672,Blessid Union Of Souls,I Believe,happy,pos
ML673,The Gap Band,You Dropped A Bomb On Me,angry,neg
ML674,Debbie Gibson,Shake Your Love,happy,pos
ML675,Incubus,Love Hurts,happy,pos
ML676,The Psychedelic Furs,Heaven,relaxed,pos
ML677,Dinosaur Jr.,Feel The Pain,angry,neg
ML678,Echo & The Bunnymen,People Are Strange,sad,neg
ML679,Iggy Pop,Lust For Life,happy,pos
ML680,Crocodiles,Sleep Forever,relaxed,pos
ML681,Nirvana,Sliver,relaxed,pos
ML682,Ashanti,The Way That I Love You,happy,pos
ML683,Maze,Southern Girl ,relaxed,pos
ML684,Carole King,Will You Love Me Tomorrow?,happy,pos
ML685,Mint Condition,You Don't Have To Hurt No More,angry,neg
ML686,Robin Thicke,The Sweetest Love,happy,pos
ML687,Eliane Elias,Movin' Me On,relaxed,pos
ML688,Interpol,Barricade,sad,neg
ML689,Rob Zombie,Mars Needs Women,angry,neg
ML690,Rascal Flatts,I Won't Let Go,angry,neg
ML691,The Beatles,Golden Slumbers,relaxed,pos
ML692,Spirit,Fresh Garbage,sad,neg
ML693,Vanilla Fudge,You Keep Me Hangin' On,happy,pos
ML694,The Sylvers,Boogie Fever,sad,neg
ML695,George Harrison,What Is Life,happy,pos
ML696,Nicolette Larson,Lotta Love,happy,pos
ML697,Lindsey Buckingham,Trouble,angry,neg
ML698,U2,Angel Of Harlem,relaxed,pos
ML699,Grand Funk Railroad,Bad Time,happy,pos
ML700,Haddaway,What Is Love,angry,neg
ML701,The S.O.S. Band,Take Your Time ,relaxed,pos
ML702,Peter Frampton,I'm In You,happy,pos
ML703,Operation Ivy,Unity,angry,neg
ML704,Papa Roach,Burn,angry,neg
ML705,Apocalyptica,Bring Them To Light ,angry,neg
ML706,Kopek,Love Is Dead,angry,neg
ML707,Peaches & Herb,Close Your Eyes,happy,pos
ML708,The Temptations,You're My Everything,relaxed,pos
ML709,GQ,I Do Love You,happy,pos
ML710,Chalino Sanchez,El Crimen De Culiacan,sad,neg
ML711,Shedaisy,Come Home Soon,relaxed,pos
ML712,Garth Brooks,Standing Outside The Fire,angry,neg
ML713,Lee Ann Womack,I May Hate Myself In The Morning,angry,neg
ML714,Nat King Cole,L-O-V-E,happy,pos
ML715,Jose Feliciano,Light My Fire,angry,neg
ML716,DeBarge,All This Love,happy,pos
ML717,Norah Jones,My Blue Heaven,relaxed,pos
ML718,Elmore James,The Sky Is Crying,relaxed,pos
ML719,Elvis Costello,One Bell Ringing,sad,neg
ML720,Nicki Minaj,Save Me,relaxed,pos
ML721,Brandon Heath,Your Love,happy,pos
ML722,Michael W. Smith,Awesome God,happy,pos
ML723,Jeremy Riddle,Bless His Name,relaxed,pos
ML724,"Phillips, Craig & Dean",Because I'm Forgiven,happy,pos
ML725,Sarah Sadler,Beautiful,happy,pos
ML726,Juan Gabriel,Abrazame Muy Fuerte,sad,neg
ML727,Chalino Sanchez,Baraja De Oro,sad,neg
ML728,Sam Cooke,Trouble Blues,angry,neg
ML729,Salvador,You Are There,happy,pos
ML730,Billy Ocean,Love Is Forever,happy,pos
ML731,Seal,I'm Still In Love With You,happy,pos
ML732,Intocable,Contra Viento Y Marea,sad,neg
ML733,Sonny James,Young Love,happy,pos
ML734,Dolly Parton,Yellow Roses,relaxed,pos
ML735,Innerpartysystem,American Trash,sad,neg
ML736,Edward Sharpe & The Magnetic Zeros,Home,relaxed,pos
ML737,Tenacious D,The Metal,sad,neg
ML738,The Heartbeats,A Thousand Miles Away,relaxed,pos
ML739,Surface,Happy,happy,pos
ML740,The Gap Band,Yearning For Your Love,happy,pos
ML741,War,Outlaw,angry,neg
ML742,Dinora Y La Juventud,A Puro Dolor,sad,neg
ML743,Lhasa,De Cara A La Pared,sad,neg
ML744,Duncan Dhu,En Algun Lugar,sad,neg
ML745,Miguel Aceves Mejia,Rogaciano,sad,neg
ML746,Audioslave,Original Fire,angry,neg
ML747,Chickenfoot,Sexy Little Thing,happy,pos
ML748,Veruca Salt,Seether,angry,neg
ML749,Corinne Bailey Rae,Is This Love,happy,pos
ML750,Jack White,Wayfaring Stranger,relaxed,pos
ML751,Cross Canadian Ragweed,Fightin' For,angry,neg
ML752,Janie Frickie,It Ain't Easy Bein' Easy,relaxed,pos
ML753,The Statler Brothers,Bed Of Roses,relaxed,pos
ML754,Dolly Parton,But You Know I Love You,happy,pos
ML755,Marilyn Manson,The Nobodies,sad,neg
ML756,Ozzy Osbourne,Killer Of Giants,angry,neg
ML757,L.A. Guns,Never Enough,relaxed,pos
ML758,Iron Maiden,Iron Maiden,sad,neg
ML759,Honeymoon Suite,New Girl Now,relaxed,pos
ML760,Stevie Ray Vaughan & Double Trouble,Willie The Wimp ,sad,neg
ML761,Faith Evans,Love Like This,happy,pos
ML762,Elvis Presley,Jailhouse Rock,sad,neg
ML763,Al Martino,I Love You Because,happy,pos
ML764,George McCrae,Rock Your Baby,relaxed,pos
ML765,Bruce Springsteen,Save My Love,relaxed,pos
ML766,Dolores O'Riordan,The Journey,relaxed,pos
ML767,She & Him,I Should Have Known Better,happy,pos
ML768,Ian Dury & The Blockheads,Hit Me With Your Rhythm Stick,angry,neg
ML769,The Red Hot Chili Peppers,Behind The Sun,relaxed,pos
ML770,J.D. Souther,You're Only Lonely,sad,neg
ML771,Freelance Whales,Starring,angry,neg
ML772,The Cure,Fascination Street,sad,neg
ML773,Jack Johnson,Wasting Time,sad,neg
ML774,The Beatles,Thank You Girl ,relaxed,pos
ML775,Electronic,Getting Away With It,happy,pos
ML776,Chris Tomlin,Our God,happy,pos
ML777,Robbie Seay Band,Song of Hope,happy,pos
ML778,Hezekiah Walker & The Love Fellowship Crusade Choir,Grateful ,relaxed,pos
ML779,Martha Munizzi,Invincible God,happy,pos
ML780,Vickie Winans,The Rainbow,relaxed,pos
ML781,The Shirelles,Will You Love Me Tomorrow,happy,pos
ML782,Dianne Reeves,Afro Blue,relaxed,pos
ML783,Black Label Society,Bored To Tears,sad,neg
ML784,George Michael,I Want Your Sex,happy,pos
ML785,Slayer,War Ensemble,angry,neg
ML786,Metallica,Crash Course In Brain Surgery,angry,neg
ML787,Monchy & Alexandra,Hasta El Fin,sad,neg
ML788,Patrulla 81,Como Me Haces Falta,sad,neg
ML789,Aliados De La Sierra,Te Amo,sad,neg
ML790,Los Rieleros Del Norte,Un Juego,sad,neg
ML791,Conjunto Primavera,El Amor Que Nunca Fue,sad,neg
ML792,Luther Vandross,Anyone Who Had A Heart,happy,pos
ML793,New Edition,Candy Girl,relaxed,pos
ML794,Tower Of Power,Give Me Your Love,happy,pos
ML795,Joan Osborne,War,angry,neg
ML796,Jimmy Smith,Strut ,relaxed,pos
ML797,"Harry Connick, Jr.",My Blue Heaven,relaxed,pos
ML798,The Brian Setzer Orchestra,The Dirty Boogie,sad,neg
ML799,Joni Mitchell,Sometimes I'm Happy,happy,pos
ML800,Jimmy Smith,I Just Wanna Make Love To You ,happy,pos
ML801,The Naked And Famous,All Of This,sad,neg
ML802,The Jesus & Mary Chain,Just Like Honey,relaxed,pos
ML803,Destructor,Skull Splitter,sad,neg
ML804,Noah And The Whale,Give A Little Love,happy,pos
ML805,Grizzly Bear,Lullabye,relaxed,pos
ML806,Best Coast,Honey,relaxed,pos
ML807,Warpaint,Composure,sad,neg
ML808,Sly & The Family Stone,Family Affair,relaxed,pos
ML809,Gliss,Morning Light,happy,pos
ML810,Kaiser Chiefs,I Predict A Riot,angry,neg
ML811,Buzzcocks,Ever Fallen In Love?,happy,pos
ML812,Jay Reatard,DOA,happy,pos
ML813,OFF!,Upside Down,sad,neg
ML814,The Jesus & Mary Chain,The Hardest Walk,sad,neg
ML815,Fang Island,The Illinois,relaxed,pos
ML816,The Decemberists,This Is Why We Fight,angry,neg
ML817,No Age,Life Prowler,happy,pos
ML818,Someone Still Loves You Boris Yeltsin,Everlyn,sad,neg
ML819,Billie Holiday,There Is No Greater Love,happy,pos
ML820,Louis Armstrong,Stormy Weather,sad,neg
ML821,Chevelle,Vitamin R ,angry,neg
ML822,Deftones,Bored,sad,neg
ML823,Muse,Knights Of Cydonia,angry,neg
ML824,Bebel Gilberto,Aganju,sad,neg
ML825,Peter Gabriel,Digging In The Dirt,sad,neg
ML826,KMFDM,WWIII,angry,neg
ML827,Michael Bolton,Said I Loved You...But I Lied,happy,pos
ML828,England Dan & John Ford Coley,It's Sad To Belong,sad,neg
ML829,Queen Latifah,What Love Has Joined Together,happy,pos
ML830,Roberta Flack,Set The Night To Music ,relaxed,pos
ML831,Otis Redding,Respect,relaxed,pos
ML832,"Emerson, Lake & Palmer",From The Beginning,sad,neg
ML833,Roisin Murphy,Let Me Know,sad,neg
ML834,Elton John,Sad Songs ,sad,neg
ML835,Sarah Vaughan,You're Not The Kind,relaxed,pos
ML836,Alan Jackson,A Woman's Love,happy,pos
ML837,Dean Martin,Innamorata,happy,pos
ML838,Fine Young Cannibals,Ever Fallen In Love,happy,pos
ML839,LeAnn Rimes,God Bless America,relaxed,pos
ML840,Diana Krall,Little Girl Blue,relaxed,pos
ML841,Billie Holiday,Did I Remember?,angry,neg
ML842,Billie Holiday,The Very Thought Of You,relaxed,pos
ML843,"Hamilton, Joe Frank & Reynolds",Fallin' In Love,happy,pos
ML844,Mary J. Blige,Real Love ,happy,pos
ML845,Trivium,Shattering The Skies Above,angry,neg
ML846,Jarabe De Palo,El Lado Oscuro,sad,neg
ML847,Ricardo Arjona,Pinguinos En La Cama,sad,neg
ML848,The Oak Ridge Boys,Fancy Free,relaxed,pos
ML849,Bobby Bare,500 Miles Away From Home,relaxed,pos
ML850,Willie Nelson,Let It Be Me,happy,pos
ML851,Willie Nelson,Blue Skies,relaxed,pos
ML852,Ronnie Milsap,"Happy, Happy Birthday Baby",happy,pos
ML853,Dolly Parton,Think About Love,happy,pos
ML854,Marty Robbins,Big Iron,sad,neg
ML855,Faron Young,Hello Walls,sad,neg
ML856,Billy Swan,I Can Help,relaxed,pos
ML857,Frank Sinatra,Nice Work If You Can Get It,relaxed,pos
ML858,The Red Hot Chili Peppers,Fortune Faded,sad,neg
ML859,Taddy Porter,Shake Me,sad,neg
ML860,Rob Zombie,Sick Bubble-Gum,sad,neg
ML861,Egypt Central,You Make Me Sick,sad,neg
ML862,Juelz Santana,There It Go ,relaxed,pos
ML863,Skindred,Pressure,angry,neg
ML864,The Wannadies,Skin,happy,pos
ML865,Vanessa Williams,My Flame,happy,pos
ML866,Paula Abdul,The Way That You Love Me,happy,pos
ML867,My Morning Jacket,Circuital,sad,neg
ML868,The Beatles,Yer Blues,sad,neg
ML869,George Harrison,Isn't It A Pity,sad,neg
ML870,Arthur Brown,Fire,angry,neg
ML871,J Boog,Let's Do It Again ,relaxed,pos
ML872,Kapena,Masese,sad,neg
ML873,Pat Benatar,Fire And Ice,angry,neg
ML874,The Four Tops,When She Was My Girl,relaxed,pos
ML875,The Honey Drippers,Sea Of Love,happy,pos
ML876,Emmylou Harris,Home Sweet Home,relaxed,pos
ML877,Toots & The Maytals,Pressure Drop,angry,neg
ML878,James Blake,Lindisfarne I,sad,neg
ML879,Dan Deacon,Wet Wings,sad,neg
ML880,Jane Monheit,Save Your Love For Me,happy,pos
ML881,Foster The People,Warrant,angry,neg
ML882,Jens Lekman,I'm Leaving You Because I Don't Love You,happy,pos
ML883,Bill Callahan,Sycamore,angry,neg
ML884,Wye Oak,Civilian,relaxed,pos
ML885,The Doors,The Spy,angry,neg
ML886,Slayer,Cult,angry,neg
ML887,Dirge Within,Self Medicate,angry,neg
ML888,Atreyu,Ex's And Oh's,sad,neg
ML889,Donnie McClurkin,When You Love ,happy,pos
ML890,Anita Baker,You Bring Me Joy,happy,pos
ML891,Anita Baker,Good Love,happy,pos
ML892,Adele,Love Song,happy,pos
ML893,Adelitas Way,Sick,sad,neg
ML894,Sick Puppies,War,angry,neg
ML895,Red,Feed The Machine,sad,neg
ML896,Metallica,Metal Militia,sad,neg
ML897,Cold,Wicked World,angry,neg
ML898,Anthrax,Among The Living,angry,neg
ML899,Blackguard,Firefight,angry,neg
ML900,Katy Perry,E.T. ,angry,neg
ML901,The Stylistics,You're A Big Girl Now,relaxed,pos
ML902,Kid Rock,Collide ,angry,neg
ML903,Millie Small,My Boy Lollipop,happy,pos
ML904,The Rolling Stones,We Love You,happy,pos
ML905,Bob Marley & The Wailers,War,angry,neg
ML906,Gene Pitney,Only Love Can Break A Heart,happy,pos
ML907,John Hiatt,What Kind Of Man,relaxed,pos
ML908,Joan Armatrading,This Charming Life,happy,pos
ML909,The Isley Brothers,Fight The Power Part 1,angry,neg
ML910,War,Me And Baby Brother,relaxed,pos
ML911,Eskmo,Color Dropping,relaxed,pos
ML912,Chris Tomlin,Our God,happy,pos
ML913,Celine Dion,God Bless America,relaxed,pos
ML914,Lincoln Brewster,All I Really Want,happy,pos
ML915,Jose Jose,O Tu O Yo,sad,neg
ML916,Joe Cocker,You Are So Beautiful,happy,pos
ML917,Cassandra Wilson,Blue Skies,relaxed,pos
ML918,Roy Milton,Thrill Me,happy,pos
ML919,Billie Holiday,Nice Work If You Can Get It,relaxed,pos
ML920,Delirious?,Stronger,happy,pos
ML921,Ready For The World,Love You Down,happy,pos
ML922,New Edition,I'm Still In Love With You,happy,pos
ML923,Frederick Knight,I've Been Lonely For So Long,sad,neg
ML924,Wilson Pickett,Don't Let The Green Grass Fool You,relaxed,pos
ML925,Jill Scott,So In Love ,happy,pos
ML926,Johnny Gill,In The Mood,relaxed,pos
ML927,One Way,Cutie Pie,relaxed,pos
ML928,Elvis Presley,Heartbreak Hotel,sad,neg
ML929,The Platters,I Love You 1000 Times,happy,pos
ML930,Bo Diddley,Bo Diddley,relaxed,pos
ML931,Brenton Wood,Gimme Little Sign,relaxed,pos
ML932,Barry Manilow,Can't Smile Without You,sad,neg
ML933,Shenandoah,Rock My Baby,relaxed,pos
ML934,Hank Snow,Hello Love,happy,pos
ML935,Zebra,One More Chance,happy,pos
ML936,Sammy Hagar,Baby's On Fire,angry,neg
ML937,Tony Carey,I Won't Be Home Tonight,relaxed,pos
ML938,Whitesnake,Love Ain't No Stranger,happy,pos
ML939,Muse,Stockholm Syndrome,angry,neg
ML940,Jose Alfredo Jimenez,El Rey,sad,neg
ML941,Los Alegres De Teran,Hermosisimo Lucero,sad,neg
ML942,Nice & Wild,Diamond Girl,relaxed,pos
ML943,The Cult,Sun King,relaxed,pos
ML944,Sammy Kershaw,Love Of My Life,happy,pos
ML945,Craig Morgan,God Must Really Love Me,happy,pos
ML946,Alan Jackson,Ring Of Fire,angry,neg
ML947,David Kersh,Goodnight Sweetheart,relaxed,pos
ML948,Robert Earl Keen,Something I Do,relaxed,pos
ML949,Willie Nelson,Uncloudy Day,relaxed,pos
ML950,Ryan Adams,To Be Young ,sad,neg
ML951,Reckless Kelly,Some People's Kids,angry,neg
ML952,Praise Band,Awesome God,happy,pos
ML953,Phish,Free,relaxed,pos
ML954,Christine McVie,Got A Hold On Me,happy,pos
ML955,Chic,I Want Your Love,happy,pos
ML956,Don Henley,Sunset Grill,relaxed,pos
ML957,Underoath,A Boy Brushed Red Living In Black And White,angry,neg
ML958,Vreid,Disciplined,angry,neg
ML959,Belphegor,Blood Magick Necromance,angry,neg
ML960,Murder By Death,Comin' Home,relaxed,pos
ML961,My Darkest Days,Move Your Body,angry,neg
ML962,Akon,Lonely,sad,neg
ML963,Conjunto Primavera,Fue Un Placer Amarte,sad,neg
ML964,Terri Clark,I Just Wanna  Be Mad,angry,neg
ML965,Built To Spill,Goin' Against Your Mind,relaxed,pos
ML966,Bo Diddley,Bring It To Jerome,relaxed,pos
ML967,Jane Monheit,I'm Glad There Is You,happy,pos
ML968,Ann Hampton Callaway,What Is This Thing Called Love?,happy,pos
ML969,B.B. King,Don't Answer The Door,relaxed,pos
ML970,James Hunter,No Smoke Without Fire,angry,neg
ML971,Melody Gardot,Over The Rainbow,relaxed,pos
ML972,Stevie Wonder,For Your Love,happy,pos
ML973,Simon & Garfunkel,Homeward Bound,relaxed,pos
ML974,Wadsworth Mansion,Sweet Mary,relaxed,pos
ML975,Bayside,"Sick, Sick, Sick",sad,neg
ML976,"Does It Offend You, Yeah?",The Monkeys Are Coming,angry,neg
ML977,Rosie & The Originals,Angel Baby,happy,pos
ML978,Maze,Happy Feelin's ,happy,pos
ML979,Zoe,Love,happy,pos
ML980,Young Galaxy,The Angels Are Surely Weeping,sad,neg
ML981,PJ Harvey,This Mess We're In,relaxed,pos
ML982,Kylesa,Dust,sad,neg
ML983,Silversun Pickups,Waste It On,sad,neg
ML984,Oh Land,White Nights,relaxed,pos
ML985,The Beatles,And I Love Her,happy,pos
ML986,Serge Gainsbourg,Requiem Pour Un C...,sad,neg
ML987,Bebel Gilberto,Aganju,sad,neg
ML988,The Dramatics,Get Up And Get Down,sad,neg
ML989,Tinsley Ellis,Speak No Evil,angry,neg
ML990,Kurt Elling,Matte Kudasai,sad,neg
ML991,Merle Haggard,Going Where The Lonely Go,sad,neg
ML992,Johnny Cash,Rusty Cage,sad,neg
ML993,Green Day,Sassafrass Roots,sad,neg
ML994,Judas Priest,Painkiller,angry,neg
ML995,Mr. Big,Addicted To That Rush,sad,neg
ML996,The Rolling Stones,Hang Fire,angry,neg
ML997,Jack Johnson,From The Clouds,relaxed,pos
ML998,Robbie Robertson,He Don't Live Here No More,sad,neg
ML999,Stereophonics,Maybe Tomorrow,relaxed,pos
ML1000,The Police,So Lonely,sad,neg
ML1001,Rockpile,Teacher Teacher,relaxed,pos
ML1002,Air,Cherry Blossom Girl,relaxed,pos
ML1003,Los Lobos,Come On Let's Go,happy,pos
ML1004,Damien Rice,The Blowers Daughter,relaxed,pos
ML1005,Byron Cage,It Is To You,relaxed,pos
ML1006,Will Downing,Lover's Melody ,relaxed,pos
ML1007,Mary J. Blige,I Can See In Color,relaxed,pos
ML1008,Hezekiah Walker & The Love Fellowship Crusade Choir,Power Belongs To God,happy,pos
ML1009,Donald Byrd,Think Twice,happy,pos
ML1010,The Meters,Fire On The Bayou,angry,neg
ML1011,Inner City,Good Life,happy,pos
ML1012,La Ley,Aqui,sad,neg
ML1013,Ednita Nazario,Sobrevivo,sad,neg
ML1014,Fats Domino,All By Myself,happy,pos
ML1015,Al Green,You've Got The Love I Need ,happy,pos
ML1016,Patrice Rushen,Settle For My Love,happy,pos
ML1017,K-Paz De La Sierra,Volvere,sad,neg
ML1018,Ricardo Montaner,Tan Enamorados,sad,neg
ML1019,RBD,Nuestro Amor,sad,neg
ML1020,Belinda,Bella Traicion,sad,neg
ML1021,Braids,Lemonade,sad,neg
ML1022,The Stooges,No Fun,happy,pos
ML1023,Sonic Youth,Reena,relaxed,pos
ML1024,Fatboy Slim,Everybody Needs A 303,happy,pos
ML1025,Metric,On The Sly,angry,neg
ML1026,Warpaint,Set Your Arms Down,angry,neg
ML1027,White Fence,Harness,relaxed,pos
ML1028,Bloc Party,Like Eating Glass,sad,neg
ML1029,Smith Westerns,Fallen In Love,relaxed,pos
ML1030,Tokyo Police Club,Big Difference,sad,neg
ML1031,Love Is All,Make Out Fall Out Make Up,sad,neg
ML1032,Tony Bennett,Because Of You,happy,pos
ML1033,Billie Holiday,Summertime,relaxed,pos
ML1034,The Red Hot Chili Peppers,Blood Sugar Sex Magik,happy,pos
ML1035,Warrant,Sometimes She Cries,sad,neg
ML1036,Enya,Amarantine,happy,pos
ML1037,Andy Andy,Que Ironia,sad,neg
ML1038,Victor Manuelle,Asi Es La Mujer,sad,neg
ML1039,Motley Crue,Louder Than Hell,angry,neg
ML1040,New Order,Shellshock,angry,neg
ML1041,The Beatles,I Should Have Known Better,happy,pos
ML1042,Roger Daltrey,Without Your Love,happy,pos
ML1043,David Lee Roth,Just Like Paradise,relaxed,pos
ML1044,Ohio Express,Yummy Yummy Yummy,happy,pos
ML1045,Small Faces,Itchycoo Park,happy,pos
ML1046,The Supremes,Baby Love,happy,pos
ML1047,"Blood, Sweat & Tears",You've Made Me So Very Happy,happy,pos
ML1048,Olivia Newton-John,I Honestly Love You,happy,pos
ML1049,The Ronettes,"Baby, I Love You",happy,pos
ML1050,Van Morrison,Crazy Love,happy,pos
ML1051,The Rascals,People Got To Be Free,relaxed,pos
ML1052,Eddie Holman,Hey There Lonely Girl,sad,neg
ML1053,The Cowsills,"The Rain, The Park And Other Things",relaxed,pos
ML1054,The Bee Gees,Tragedy,angry,neg
ML1055,The Beatles,Love Me Do,happy,pos
