emotion,lyrics
angry,"(""Look, I know the supernatural isn't something that's supposed to happen, but it does happen."")   Jesus lived his life in a cheap hotel On the edge of Route 66 yeah He lived a dark and twisted life and he Came right back just to do it again Eye for an eye and a tooth for the truth I ain't never seen a demon warp deal'n A ring-a-ding rhythm or jukebox racket My mind can't clutch the feeling   Devilman, Devilman, calling Devilman, running in my head yeah Devilman, Devilman, calling Devilman, running in my head yeah   Hell hounds lead at the cowardly kings And carry souls across the river Styx yeah They see no evil and feel no pain Sucking juice from a fallen angel I dreamed I was a super nova fucker nitro- Burning and fuel injection Feed the gods a strychnine soul A motherfucker of invention   Devilman, Devilman, calling Devilman, running in my head yeah Devilman, Devilman, calling Devilman, running in my head yeah  (""Insipientia corde suo, non es deus Non est vita qui adorem, non es usque ad unum Es excommunicatus, ex unione fidelium."") (""It is not heresy. And I will not recant."")   Inbreed the witches and worship the dogs Deformed and fuckin' lazy Damn yourself and choke on my name I'd love to love ya baby Deadringer rats swinging in the trees Immaculate conception Bury me an angel God I need some inspiration   Devilman, Devilman, calling Devilman, running in my head yeah Devilman, Devilman, calling Devilman, running in my head yeah"
happy," I'm nothing special, in fact I'm a bit of a bore If I tell a joke, you've probably heard it before But I have a talent, a wonderful thing 'Cause everyone listens when I start to sing I'm so grateful and proud All I want is to sing it out loud   So I say thank you for the music, the songs I'm singing Thanks for all the joy they're bringing Who can live without it? I ask in all honesty What would life be? Without a song or a dance, what are we? So I say thank you for the music, for giving it to me   Mother says I was a dancer before I could walk Mhm, she says I began to sing long before I could talk And I've often wondered, how did it all start? Who found out that nothing can capture a heart Like a melody can? Well, whoever it was, I'm a fan   So I say thank you for the music, the songs I'm singing Thanks for all the joy they're bringing Who can live without it? I ask in all honesty What would life be? Without a song or a dance, what are we? So I say thank you for the music, for giving it to me   I've been so lucky I am the girl with golden hair I wanna sing it out to everybody What a joy, what a life, what a chance   Thank you for the music, the songs I'm singing Thanks for all the joy they're bringing Who can live without it? I ask in all honesty What would life be? Without a song or a dance, what are we? So I say thank you for the music, for giving it to me   So I say thank you for the music, for giving it to me"
relaxed,She was here with me today Walking softly holding hands And I thought I heard her say She loved me  As we walked I felt her eyes Reaching deeply into mine And I thought I heard her sigh She loved me  And along the way we shared a thought or two It seemed as if I knew her well Then she leaned to me and as we gently kissed I knew that moment my heart fell  She was here  Now I'm lost in wondering As if waking suddenly Was it real or just a dream Where is she?  Was she really here today? Or was I just drifting back To the times I heard her say She loved me  Was she really here today? She loved me She loved me
angry," You must have heard it on the news this morning ""Congratulations! A new star is born!"" Sun to his shadow, rose to a thorn There ain't no fury like a woman scorned   Y'all must have dug it, when you did your thing It's like a song, everybody want to sing When the music's over, your ears ring With a voice that' says, 'Queen got no King"" Got no King   He got a message saying, you tried to reach him on the phone He didn't want to answer 'cause he's so afraid You'd probably tell him just to leave you alone   I bet you heard he got another band They're making money, they're making plans You feel left out but you need to understand Word on the street: he's still your man He's still your man He's still your man, girl   Look out, here comes your rainy day Now you think you got a good reason to say Everything that's in your heart, come what may Even though his might get broken   Who's the guilty one when there ain't no judge or jury? Shadow to the sun, next to the one Hell ain't got no fury   Will the roses the dead keep sending Repair the heart in need of mending Will this song have a happy ending? Only the woman knows, only she knows   Two sides to every story One man's gloom, another man's glory Sun to his shadow, rose to a thorn Ain't no fury like a woman scorned Oh no! Ain't no fury like a woman scorned Oh no! Ain't no fury like a woman scorned No fury like a woman scorned"
relaxed,"I'm overjoyed, and in the sun The second time this year I'm on a plane at 30,000 feet The only way from here is down And that's ok with me Cause I'm overjoyed, I'm ready for the... Fall (x 3) Cause I'm ready for the fall There's no surprise I've been forced to learn That bliss comes at a price And here I am still minin' gold From the soul I sold like a whore The finger of blame is pointing at me Cause I lit that flame, now it's burning me But I'm overjoyed and it's no surprise That I'm ready for the fall Fall (x8) (That I'm ready for the fall) Fall...."
sad," We are damned and we are dead All god's children to be sent To our perfect place In the sun, in the dirt  There's a windshield in my heart We are bugs so smeared and scarred Could you stop the meat from thinking Before I swallow all of it? Could you please   Put me in the motorcade Put me in the death parade Dress me up and take me Dress me up and make me your dying god   Angels with needles poked through our eyes And let the ugly light of the world in We were no longer blind We were no longer blind   Put me in the motorcade Put me in the death parade Dress me up and take me Dress me up and make me your dying god   Now we hold the ""ugly head"" The Mary-whore is at the bed They've cast the shadow of our perfect death In the sun and in the dirt"
happy," Man, I just saw something. I'm glad that you are here I got to start to thinking, and seeing things so clear 'Cause now how could I forget what she left? What happened in November is what  needed And I'm sorry that it shows, but life ain't so bad you know?   And now the sky's such a sweet blue And you made this come true And my heart feels so new (woah-oh, woah-oh, woah, woah, woah-oh) It's now wonderful to see beautiful views Like skies that are so blue (woah-oh, woah-oh, woah, woah, woah-oh) Woah, woah I'll never leave this you know   I'd turn it off for this It looks like we got what we wished It snowed in Texas but you missed (first time since '86) And I can't stop thinking how wonderful this is And I'm sorry I sound glad, but why always be so sad?   And now the sky's such a sweet blue And you made this come true And my heart feels so new (woah-oh, woah-oh, woah, woah, woah-oh) It's now wonderful to see beautiful views Like skies that are so blue (woah-oh, woah-oh, woah, woah, woah-oh)   And I know that sometimes oh I might feel alone So broke, and cold But now I'll show that I know   That the sky's such a sweet blue And you made this come true And my heart feels so new (woah-oh, woah-oh, woah, woah, woah-oh) It's now wonderful to see beautiful views Like skies that are so blue (woah-oh, woah-oh, woah, woah, woah-oh) Woah, woah I'll never leave this you know Woah, woah, woah Woah-oh, woah, woah, woah Woah-oh, woah, woah, woah"
sad,"This is our  ""Music from A Bachelors Den"" The sound of loneliness turned up to ten A horror soundtrack from a stagnant water-bed And it sounds just like this This is the sound of someone losing the plot Making out that they're okay when they're not You're gonna like it, but not a lot And the chorus goes like this Oh baby, here comes the fear again The end is near again, oh A monkey's built a house on your back You can't get anyone to come in the sack And here comes another panic attack Oh, here we go again So now you know the words to my song Pretty soon you'll all be singing along When you're sad, when you're lonely, and it all turns out wrong When you've got the fear And when you're no longer searching for beauty or love Just some kind of life with the edges taken off When you can't even define what it is that you are frightened of This song will be here Oh baby, here comes the fear again The end is near again, oh If you ever get that chimp off your back If you ever find the thing that you lack Oh, but you know you're only having a laugh Oh, here we go again Until the end Until the end"
sad,Goodbye suicide Wipe the tears down from your eyes Take my hand Hold back pride - goodbye suicide  Goodbye suicide Not for real but for this life Au-revoir Auf-wiedersein - goodbye suicide  Goodbye suicide Never thought I'd tell a lie See you later Sianara- goodbye suicide  Goodbye suicide Beautiful to be so kind Forever been But never seen - goodbye suicide  If the ending fits the words If you struggle to be heard You can only try so hard You can only try so fucking hard  So goodbye suicide Innocence is not a crime Hold back fear Don't let it near - goodbye suicide
sad,"The pain never stops The race ignore me I sit here twisted, and it hurts me The Son is near His way made for him Among the hopes Ten thousand suffering Oh how my heart aches The brilliant stories cascade about me To be handsome again Thou art all deformed, and I feel your pain What I touch with my hand, I touch with my heart The affection of stillness Kiss the hand that blesses me And as the panting ceased My blood runs now fierce This when I was young, before I knew nothing Now I'm the hunted, for the guilt that stains my hands"
happy," A lot of strange people involved in it; ya know, there is the people who are really, really heavily into the more satanic aspects of it, and the really kind of... violent aspects—which I'm not gonna share with you two, um... If you'd like to get more details on that, call 1-800—   Say, let's get known If we keep it up, we'll show the haters It's gonna be soon not later Hey! Let's get known! If we work real hard, we can buy some matching clothes For our live shows Look at the ants on the floor They work real hard, lifting three times their mass And sometimes more So what do you say? Let's get known Let's have two spotlights shining With all our work shown What do you say? It's all on the line"
sad,"Now my days are growing cold All the memories unfold Thinking 'bout the friends we lost Wondering how to count the cost Now my days are growing cold I can hardly wait any longer Now the feeling's growing stronger Thinking 'bout the times we had Good times always turn into bad Now my days are growing cold Why don't you take me for a little while Sing me songs you know will make me smile Why don't you take me for a little while As I watch the rising sun I see a new day just begun Thinking 'bout the sacrifice Wondering how to pay the price Now my world is growing cold Why don't you take me for a little while Sing me songs you know will make me smile, make me smile Why don't you take me for a little while, yeah So now my days are growing cold All my memories been told Thinking 'bout the dreams we lost Wondering how to count the cost Now my days are growing cold Why don't you take me for a little while Sing me songs you know will make me smile Why don't you take me for a little while Sing me songs you know will make me, make me, make me smile Why don't you take me for a little while Sing me songs you know will make me smile Why don't you take me for a little while Sing me songs you know will make me, make me, make me smile Make me smile Why don't you take me for a little while Sing me songs you know will make me, make me, make me smile Somebody take me, take me, ooh Won't you make me smile Sing me songs you know will make me, make me, make me smile Make me smile"
happy,"All my life I've been fall- fall- falling apart Been tumbling down quick, fast right from the start I never learned just get up and go on Until I'm just knocked right off of my feet  But it's not the fall that hurts It's when you hit the ground 'cause it's not the fall that hurts It's when you hit the ground  Stumbling with every step I take And it seems I can't get a grip I'm soon gonna slip And then I look down I see that the ground Is closing in fast again And then boom  But it's not the fall that hurts It's when you hit the ground 'cause it's not the fall that hurts It's when you hit the ground  Fall fall fall fall fall fall falling apart Fall fall fall fall fall fall falling apart Fall fall fall fall fall fall falling apart Fall fall fall fall fall fall falling apart  But it's not the fall that hurts It's when you hit the ground 'cause it's not the fall that hurts It's when you hit the ground  But it's not the fall that hurts It's when you hit the ground 'cause it's not the fall that hurts It's when you hit the ground"
happy," I wanna start it over I wanna start again I want a new beginning One without an end I feel it inside Calling out to me   It's a voice that whispers my name It's a kiss without any shame Something beautiful, yeah, yeah Like a song that stirs in my head Singing love will take us where Something's beautiful   I've heard it in the silence Seen it on a face I've felt it in the long hour Like a sweet embrace I know this is true It's calling out to me   It's a voice that whispers my name It's a kiss without any shame Something beautiful, yeah, yeah Like a song that stirs in my head Singing love will take us where Something's beautiful   It's the child on her wedding day It's the daddy that gives her away Something beautiful, yeah, yeah When we laugh so hard we cry Oh the love between you and I Something beautiful   It's a voice that whispers my name It's a kiss without any shame Something beautiful, yeah, yeah Like a song that stirs in my head Singing love will take us where Something's beautiful   It's the child on her wedding day It's the daddy that gives her away Something beautiful When we laugh so hard we cry It's the love between You and I Something beautiful   Something beautiful"
happy," When ink and pen in hands of men inscribe your form, bipedal P They draw an altar on which God has slaughtered all stability No eyes could ever soak in all the places you anoint And yet to see you all at once, we only need the point Flirting with infinity Your geometric progeny That fit inside you oh so tight With triangles that feel so right   3.14159265358979323846264338327950288419716939937510582097494459   Your ever-constant homily says flaw is discipline The patron saint of imperfection frees us from our sin And if our transcendental lift should find a final floor Then man will know the death of God where wonder was before   Yeah, I know this pi shit backwards and forwards Check it out   I did three chicks then I pointed at the door A girl entered in so that made it four I snapped one time then came another five Add 'em all up and that makes nine The average age 26.5 Now that's what I call gettin' some pi Five of the chicks wore six-inch heels Two of the nine squealed like seals 514 was the area code Quebec, Canada, my winter abode In my 1.3 million dollar Chalet Pi backwards, pi forwards, all night and all day   3.14159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895"
angry," Come with it now Come with it now   The microphone explodes, shattering the mold Either drop the hits like de la O or get the fuck off the commode With the sure shot, sure to make the bodies drop Drop and don't copy, yo, don't call this a co-op Terror rains drenchin', quenchin' the thirst Of the power dons, that five-sided Fistagon The rotten sore on the face of Mother Earth gets bigger The trigger’s cold, empty your purse   Rally 'round the family with a pocket full of shells They rally 'round the family with a pocket full of shells They rally 'round the family with a pocket full of shells They rally 'round the family with a pocket full of shells   Weapons, not food, not homes, not shoes Not need, just feed the war, cannibal animal I walk the corner to the rubble, that used to be a library Line up to the mind cemetery now What we don't know keeps the contracts alive and movin' They don't gotta burn the books, they just remove 'em While arms warehouses fill as quick as the cells Rally 'round the family, pockets full of shells   Rally 'round the family with a pocket full of shells They rally 'round the family with a pocket full of shells They rally 'round the family with a pocket full of shells They rally 'round the family with a pocket full of shells   Bulls on parade, uh   Come with it now Come with it now Bulls on parade Bulls on parade Bulls on parade Bulls on parade Bulls on parade Bulls on parade"
sad,"Your unbreathing, unbreathing sleep Our dreamless bed Is mine to keep In my eyes and frozen arms Nothing lives 'cept my harm  Now you're worn, worn with years Years and sorrows Like saints with arrows Once again, I see a man I watch him die with a humble sigh  Calm this tide, tide of sorrow He leads me away and I follow  Sighs and then slumbers Wakes and sighs again Opens up the eyes Sees the ghost again Our dying love, it prays in vain to live And pleads for help, I simply cannot give  ""My devoted love takes tiny backward Steps away Loneliness aplenty spread before me  My devoted love takes tiny backward Steps away Loneliness aplenty spread before me"""
sad,"I used to know this girl marie And so the story goes, she never really talked to me Her house was seven blocks away On my way to school i went to see if shes ok ( chorus ) Tell me where have you gone where have you gone Marie Why did you leave come back to me Cherie I know you ran away you ran away Marie You cannot stay you cannot stay Cherie Please stay marie marie cherie..... Oh no! He did not treat you right Your in the senses lost, you never had a chance to fly She looked so pretty like a dream Her skin's likes velvet cream she never made her sweet sixteen Nobody came around to see her it was as if she wasn't there A lone butterfly that's caught in amber Always your daddy's little girl Chorus ( first chorus) I know you ran away you ran away Marie You can not stay tou can not stay Cherie Tell me where have you gone where have you gone MArie Why did you leave come back to me CHERIE I know you ran"
happy," So there you are Again, you're circling all around If you could only touch me now Stranger from the past Don't hesitate, now we're standing face to face If Heaven is the only place Would you take my hand?   Just tell me, ""What do you want from me?"" This is love in the first degree Tell me why, every time I feel your eyes all over me Tell me, ""What do you want from me?"" Are you mad enough to see That it's hard to cross the line? Come on now, set me free What you want from me?   Get closer now Softly whisper in my ear Please take me away from here Away from all my tears It's not too late Now we're standing face to face And Heaven is the only place Will you understand?   Just tell me, ""What do you want from me?"" This is love in the first degree Tell me why, every time I feel your eyes all over me Oh, tell me, ""What do you want from me?"" Are you mad enough to see That it's hard to cross the line? Come on now, set me free   And I know If you give me this feeling, I'll be there to hold you tight (Ooh, oh) 'Cause I'd show, your love is a hero We will run, run out of sight (What you want?)   What do you want from me? This is love in the first degree Tell me why every time I feel your eyes all over me (What you want?)"
relaxed," And when the sun runs out No doubt's left standing We’ll see, if Yah wills that we're alone again Let love slip through our fingers, I say Live up, live up, live up I wanna get up, instead I give up Sometimes life dictates what we hate   And when the sun runs out No doubt's left standing Who knows if it’ll go our way And when the sun runs out No doubt's left standing Insha'Allah, it'll be okay   And when the sun runs out No doubt's left standing Would it be different if we knew we would win Let love slip through our fingers again, I say Live up, live up, live up Sometimes even the seasons change Our patterns rearrange   And when the sun runs out No doubt's left standing Who knows if it’ll go our way And when the sun runs out No doubt's left standing Insha'Allah, it'll be okay   Lord, won’t you grant me new eyes so I can see What good are songs with no dances I want to live to live and take my chances I want to live today, leave inhibitions in the wind What good are songs with no dances I pray, Lord, won’t you grant me Won’t you grant me Lord, won’t you grant me   And when the sun runs out No doubt's left standing Who knows if it’ll go our way And when the sun runs out No doubt's left standing Insha'Allah, it'll be okay"
sad,"The world's gone mad And I have lost touch I shouldn't admit it But I have It slipped away while I was distracted I haven't changed I swear I haven't changed How did this happen? I didn't feel myself Evaporating...  My body has gone But my eyes remain Hovering. Witnessing Cold as a ghost ... watching the streets Sheltering in doorways of Venice, Vienna Budapest, Krakow, and Amsterdam  I have become the invisible man  The invisible heart beating against you The invisible pulse silently thumping  I shout my name in the public places No one seems to notice No one understands I stand perfectly still In the middle of the road I hold my nerve I hold my nerve Hold my nerve But the cars don't swerve  I will hear your prayers As you whisper alone I am the one you felt was close Close behind you in St. Stephen You lit a candle Blessings in the cold night air  I'll feel your breath as you turn to go I'll watch you leave From somewhere up high As you cross the park In the Autumn light In the Autumn light In the Autumn light  If I close my eyes I can see where you live Climb the winding stairs Up to your apartment The scent of you preparing His evening meal I must watch in dread When he's cruel to you In horrified silence As you make love I cannot lift a hand Lift a hand to stop him I don't exist What can I do? What can I do?  I will scream in your ear As you're passing by I will wrap my arms around you You won't hear, you won't feel me I will walk stride for stride with you I will try to help When you stumble You will stumble through me  I have become the invisible man It's all I am Invisible  I have read all your letters I know what you contain I have dreamt your dreams My head.. My head is haunted I will scream again ""I am perfectly sane"" ""I am perfectly sane"" But I am The invisible man I am The invisible man  Talk to me Acknowledge me Confide in me Confess to me ... or Leave me be Leave me be"
happy,"Yeah  You walked in Just like smoke With a little c'mon, c'mon, c'mon in your walk Come on  I've been waiting Are you waiting For my move? Well, I'm making it  So tell me baby, can you shake it? If I can move it with you will you let me take it? I'll be down on my knees screaming ""Take me, take me Take me, take me I'm yours""  I've Never Felt so Out of control You don't even know What you're doing to me C'mon and do it to me Don't you stop  C'mon, c'mon C'mon, little rabbit Show me where you've got it 'Cos I know you've got a habit C'mon, c'mon C'mon, little rabbit Show me where you've got it 'Cos I know you've got a habit C'mon, c'mon Show me, little rabbit Show me where you've got it 'Cos I know you've got a habit  C'mon, c'mon C'mon, c'mon (c'mon, c'mon, c'mon) C'mon (c'mon, c'mon, c'mon) C'mon (c'mon, c'mon, c'mon) C'mon (c'mon, c'mon, c'mon) C'mon (c'mon, c'mon, c'mon) C'mon (c'mon, c'mon, c'mon) C'mon (c'mon, c'mon, c'mon)  C'mon, c'mon C'mon, little rabbit Show me where you've got it 'Cos I know you've got a habit C'mon, c'mon C'mon, little rabbit Show me where you've got it 'Cos I know you've got a habit  Show me where you've got it 'Cos I know you've got a habit Show me where you've got it 'Cos I know you've got a habit  Show me Show me"
relaxed,"The time is coming, It's coming soon I feel it in my bones, I feel it in my shoes I was lost, but now I'm found And all my troubles are turning around Oh I feel I've getting so close to you Heaven's holding my hand And I'm ready to break on through So I'm tearing down the walls inside Letting go of all my pride Making room for the lie I don't need to hide inside this shell This shell no more No more I don't know my right from left And I've been going around this bend So many miles I have roamed Lately I feel like I'm coming home Oh I'm getting so close to you Heaven's lighting a candle And I'm ready to break on through So I'm tearing down the walls inside Letting go of all my pride Making room for the lie I don't need to hide inside this shell This shell no more No more Oh no, no, no, no more, no more So I'm tearing down the walls inside Letting go of all my pride Making room for the lie I don't need to hide inside this shell This shell no more No more, No more So I'm tearing down the walls inside Letting go of all my pride Making room for the lie I don't need to hide inside this shell This shell no more No more No more This shell This shell This shell This shell"
sad," On this day where you're so messed it's clear Cannot explain the world you roam Anyone who has been As I walk with you, it chills me so To hear you say it has come to this And that it is okay   In a dream, I always talk to you You seem fine again, my sweet Feels alright to me Is it right for you? Flipping out I try to call to you Do you call to me? Tell me what to do  And I know it is not the same, there is no blame - still I bother you And you say it is not your deal, it is mine to feel - follow along with you   Come alive I know you will sing to me I would not sing to you It is not a thing I do Has it been a different feel for you? The whole time this was going on Or is it something new? And I know it is not the same, there is no blame - still I am bothering you And you say It is not your deal, it is mine to feel - you would not pull me through Anyway, you are not the same, it is the blame - follow along with you   It is a lingering that comes through me Does it come to you? Are we really through? Any guy would do this thing for me It is not much to ask Why cannot you? I am not going to say I have had my way You sure saw to that But what else can I do? You promised so much that I would never touch I believed in you For the last time"
happy," Call up, ring once, hang up the phone To let me know you made it home Don't want nothing to be wrong with part-time lover If she's with me, I'll blink the lights To let you know tonight's the night For me and you, my part-time lover   We are undercover passion on the run Chasing love up against the sun We are strangers by day, lovers by night Knowing it's so wrong, but feeling so right   If I'm with friends and we should meet Just pass me by, don't even speak Know the word's ""discreet"" with part-time lovers But if there's some emergency Have a male friend to ask for me So then she won't peek it's really you my part-time lover   We are undercover passion on the run Chasing love up against the sun We are strangers by day, lovers by night Knowing it's so wrong, but feeling so right   (Part-time lovers)  (Part-time lovers)   We are undercover passion on the run, yeah Chasing love up against the sun We are strangers by day, lovers by night Knowing it's so wrong, but feeling so right   I've got something that I must tell Last night someone rang our doorbell And it was not you, my part-time lover And then a man called our exchange But didn't want to leave his name I guess that two can play the game Of part-time lovers You and me, part-time lovers But, she and he, part-time lovers   (Repeat until end)"
angry,"   Lashing out the action, returning the reaction Weak are ripped and torn away Hypnotizing power, crushing all that cower Battery is here to stay   Smashing through the boundaries, lunacy has found me Cannot stop the battery Pounding out aggression, turns into obsession Cannot kill the battery Cannot kill the family, battery is found in me Battery, battery   Crushing all deceivers, mashing non-believers Never-ending potency Hungry violence-seeker, feeding off the weaker Breeding on insanity   Smashing through the boundaries, lunacy has found me Cannot stop the battery Pounding out aggression, turns into obsession Cannot kill the battery Cannot kill the family, battery is found in me Battery, battery     Circle of destruction, hammer comes crushing Powerhouse of energy Whipping up a fury, dominating flurry We create the battery   Smashing through the boundaries, lunacy has found me Cannot stop the battery Pounding out aggression, turns into obsession Cannot kill the battery Cannot kill the family, battery is found in me Battery, battery Battery, battery"
relaxed,"   I fell into the street, poison in my veins Clambered to my feet and into the night again Back to my home, back to my owner Who screams at my tardiness Put his hands to the sky   And says, what can I do with a girl If she refuses to be mine?   In his bed I am queen, unobtainable me Sexual being, human with feelings The two are not me The two will not be mine   And what can you do with a girl If she refuses to be mine?   Put his hand on my shirt Hand on my face Head to the wall When you've broken your only doll   And what will you do with a girl If she refuses to be alive?   And you've broken your only doll And what will you do with a girl If she's refusing to be alive?     There's a house across the river but, alas, I cannot swim And a garden of such beauty that the flowers seem to grin There's a house across the river, but alas, I cannot swim I'll live my life regretting that I never jumped in   There's a boy across the river with short black curly hair He wants to be my lover and I want to be his peer There's a boy across the river but, alas, I cannot swim And I never will get to put my arms around him   There's a life across the river that was meant for me Instead I live my life in constant misery There's a life across the river, but I do not see Why I should please those who will never be pleased   There is gold across the river, but I don't want none There is gold across the river, but I don't want none Gold is fleeting, gold is fickle, gold is fun Gold is fleeting, gold is fickle, gold is fun   There is gold across the river, but I don't want none I would rather be dry than held up by a golden gun   Saying, work more, earn more, live more Have more fun"
happy," Jeremiah was a bullfrog Was a good friend of mine I never understood a single word he said But I helped him a-drink his wine And he always had some mighty fine wine Singin'   Joy to the world All the boys and girls, now Joy to the fishes in the deep blue sea Joy to you and me   If I were the king of the world Tell you what I'd do I'd throw away the cars and the bars and the wars Make sweet love to you Sing it now   (Joy) to the world (All) the boys and girls Joy to the fishes in the deep blue sea (Joy to you and me)   You know I love the ladies Love to have my fun I'm a high night flier and a rainbow rider (ha ha ha) And a straight-shooting son of a gun (alright) I said a straight shootin' (son of a gun)   (Joy to the world) (All the boys and girls) (Joy to the fishes in the deep blue sea) (Joy to you and me)   (Joy to the world) (All the boys and girls) (Joy to the fishes in the deep blue sea) (Joy to you and me)   (Joy to the world) (All the boys and girls) (Joy to the world) (Joy to you and me)   (Joy to the world) (All the boys and girls) now (Joy to the fishes in the deep blue sea) (Joy to you and me) Ahhhh yeah!   (Joy to the world) yeah YEAH! (All the boys and girls) Yowwwww (Joy to the fishes in the deep blue sea) (Joy to you and me) You know I mean to   (Joy to the world) Yeah! Yeah! (All the boys and girls) (Joy to the fishes in the deep blue sea) (Joy to you and me) You know I mean to   (Joy to the world) You know I mean to (All the boys and girls) Yeah yeah (Joy to the fishes in the deep blue sea) (Joy to you and me) Wahhh yeah   (Joy to the world) Let me tell ya 'bout it (All the boys and girls)"
happy,"She's all dressed up... pretty well Waving your hands so high, she could reach the sky She is all necked up, like she's got something to sell But no one cares right now, as she starts to dance  And she starts dancing to the music, slowly by my side And she starts dancing to the music now, yeah And she starts dancing to the music, slowly by my side And she starts dancing to the music now, yeah  She is all fucked up but no one could tell Living in ages behind to find a brain again She is all messed up, somewhere up ahead But no one cares right now, as she starts to dance  And she starts dancing to the music, slowly by my side And she starts dancing to the music now, yeah And she starts dancing to the music, slowly by my side And she starts dancing to the music now, yeah  And she starts dancing to the music, slowly by my side And she starts dancing to the music now, yeah And she starts dancing to the music, slowly by my side And she starts dancing to the music now, yeah  And she starts... dancing to the music, now And she starts... dancing to the music, yeah And she starts... dancing to the music, now And she starts... dancing to the music, yeah"
happy,My face is stuck in a Cheshire grin I met an English girl She's like the toast of my whole world We hit the gas just in order to get away Ooh ooh ooh And then we dance all through the whole night We'll storm the beaches Head to Mexico We'll cruise the streets all night And catch a rock and roll show We have to do this just in order to get away Let's keep Dancing
sad,"Teen Angel Teen Angel Teen Angel VERSE 1 That fateful night the car was stalled Upon the railroad track I pulled you out and we were safe But you went running back CHORUS Teen angel Can you hear me? Teen angel Can you see me? Are you somewhere up above? And am I still your own true love? VERSE 2 What was it you were looking for That took your life that night They said they found my high school ring Clutched in your fingers tight CHORUS VERSE 3 Just sweet sixteen, and now you're gone They've taken you away I'll never kiss your lips again They buried you today CHORUS Teen angel Teen angel Answer me please"
happy,"I come home in the morning light My mother says when you gonna live your life right? Oh mother dear we're not the fortunate ones And girls they want to have fun Oh girls just want to have fun  The phone rings in the middle of the night My father yells what you gonna do with your life? Oh daddy dear you know you're still number one But girls they want to have fun Oh girls just want to have--  That's all they really want Some fun When the working day is done, oh Girls-- they want to have fun Oh girls just want to have fun  Girls, they want Wanna have fun Girls Wanna have  Some boys take a beautiful girl And hide her away from the rest of the world I want to be the one to walk in the sun Oh girls they want to have fun Oh girls just want to have  That's all they really want Some fun When the working day is done Girls--they want to have fun Oh girls just want to have fun  Girls, they want Wanna have fun Girls Wanna have  They just wanna They just wanna"
happy," It's Christmas at ground zero There's music in the air The sleigh bells are ringing, and the carolers are singing While the air-raid sirens blare   It's Christmas at ground zero The button has been pressed The radio just let us know That this is not a test   Everywhere the atom bombs are dropping It's the end of all humanity No more time for last-minute shopping It's time to face your final destiny   'Cause it's Christmas at ground zero There's panic in the crowd We can dodge debris while we trim the tree Underneath the  mushroom cloud     You might hear some reindeer on your rooftop Or Jack Frost on your windowsill But if someone's climbing down your chimney You better load your gun and shoot to kill   Oh, it's Christmas at ground zero And if the radiation level's okay I'll go out with you and see all the new Mutations on New Year's Day   It's Christmas at ground zero Just seconds left to go I'll duck and cover with my Yuletide lover Underneath the mistletoe   It's Christmas at ground zero Now the missiles are on their way What a crazy fluke, we're gonna get nuked On this jolly holiday What a crazy fluke, we're gonna get nuked On this jolly holiday"
angry,Destroy Her body was destroyed If you thought you were going to walk away from this without a scratch You were wrong You're going to taste my DNA whether you like it or not Beg for your life Or don't open your mouth Your mother warned you about guys like me Scream my name so the neighbors can hear You can consider this evidence Consider this evidence A fucking nightmare This is a fucking nightmare And no amount of your screaming will ever wake you up There was a bloodbath in this very room A work of art that will be whispered about I changed her from her neighbor's wet dream into his nightmare She died a filthy whore And the look on her face was fear Destroy Her body was destroyed Just like your eyes being blown out from the inside
angry,"Oil remove shred and tear Radiation vapor air It's the fear so unclear Man in motion going nowhere In our homes stuck in the face Spread the word to the populace Yellow journal, yellow journal Set the pace, feel the rage Manifestations of a sort So insidious off the point Simple solution, never confusion Sport a gun, kill a cop Crazy world of weary thought So receive me had enough Lock me up, lock me up  Rot and assimilate Hot to annihilate (Tear your face) Rot and assimilate So hot to annihilate (Hit with mace)  Is it safe?  Deviation tonic mess Prolonged existence innocence Is he who speaks isn't weak Wheelchair virtue so to speak Bubonic plague, the truth of aids Immunity avoid decay In the trench of pestilence The bible screams announce your faith Mutterings of death to bring Suffocate a newborn thing Degradation of an age Venereal, it's all sensation Protect design the moral plan Infallible as propaganda Completely black With no steps back  Hot to assimilate (Go nowhere) Rot or annihilate (Tell yourself) Hot to assimilate (Search your soul) We'll rot or annihilate  Agony Inner thinking brain Clanking chains Growing pain  Is it safe?  Bloodshot  Mutterings of death to bring Suffocate a newborn thing Degradation of an age Venereal, it's all sensation Protect design the moral plan Infallible as propaganda Completely black With no steps back Agony profusely stains The inner thinking of the brain Accusations, clanking chains Experiments with the groans of pain All prefer no one blames The terror in an animal's screams In cages our future The answers insane  Rot and assimilate (Show no faith) So hot to annihilate (Each adds assimilate) Rot and assimilate (Each one assimilates) So hot to annihilate  Reach for an air way Reach for an air way Reach for an air way Reach for an air way Reach for an air way  Oh, death, death, death, death, death, death, death, death, death, death, death, death, death"
